City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Altukhovo,RU,2021-12-23 23:35:39,52.67,34.36,7.07,93,83,9.69
157,Dingle,PH,2021-12-23 23:35:39,10.9995,122.6711,78.21,83,61,8.48
158,Camopi,GF,2021-12-23 23:35:40,3.1655,-52.3158,74.05,99,100,2.62
159,Tondano,ID,2021-12-23 23:35:40,1.3038,124.9112,68.09,79,93,3.33
160,Carnarvon,AU,2021-12-23 23:35:40,-24.8667,113.6333,77.07,73,0,13.8
161,Poum,NC,2021-12-23 23:35:41,-20.2333,164.0167,81.55,74,18,7.52
162,San Marcos,US,2021-12-23 23:35:41,33.1434,-117.1661,64.0,69,90,5.01
163,Kyra,RU,2021-12-23 23:35:42,49.5776,111.9753,-11.06,87,12,4.92
164,Bluff,NZ,2021-12-23 23:30:38,-46.6,168.3333,56.8,58,37,18.05
165,Marrakesh,MA,2021-12-23 23:35:42,31.6315,-8.0083,57.27,67,0,1.14
166,Bilma,NE,2021-12-23 23:35:43,18.6853,12.9164,61.03,19,43,10.36
167,Ponta Do Sol,PT,2021-12-23 23:30:30,32.6667,-17.1,63.23,69,8,7.58
168,Airai,TL,2021-12-23 23:35:43,-8.9266,125.4092,62.44,90,100,0.36
169,Kaitangata,NZ,2021-12-23 23:35:44,-46.2817,169.8464,60.93,68,53,8.81
170,Bullhead City,US,2021-12-23 23:35:44,35.1478,-114.5683,71.02,31,90,5.75
171,Finschhafen,PG,2021-12-23 23:35:45,-6.6024,147.8681,85.71,69,97,4.81
172,Mar Del Plata,AR,2021-12-23 23:35:45,-38.0023,-57.5575,73.09,89,0,5.99
173,Tabontabon,PH,2021-12-23 23:35:45,11.0408,124.9611,77.94,81,64,2.93
174,Obo,CF,2021-12-23 23:35:46,5.3998,26.4869,74.91,34,97,5.44
175,Lesosibirsk,RU,2021-12-23 23:35:46,58.2358,92.4828,-3.68,77,44,12.93
176,Clyde River,CA,2021-12-23 23:35:47,70.4692,-68.5914,-5.57,77,20,4.61
177,Tongling,CN,2021-12-23 23:35:47,30.95,117.7833,46.26,69,11,8.95
178,Savannakhet,LA,2021-12-23 23:35:48,16.566,104.751,67.1,84,73,4.03
179,Monrovia,LR,2021-12-23 23:35:48,6.3005,-10.7969,80.37,80,12,6.8
180,Fort Dodge,US,2021-12-23 23:36:49,42.4975,-94.168,42.44,60,1,5.75
181,Sao Felix Do Xingu,BR,2021-12-23 23:36:49,-6.6447,-51.995,73.65,94,100,1.39
182,Norman Wells,CA,2021-12-23 23:36:49,65.282,-126.8329,-36.36,61,40,2.3
183,Huilong,CN,2021-12-23 23:36:50,31.8111,121.655,57.04,83,99,9.42
184,Waddan,LY,2021-12-23 23:36:50,29.1614,16.139,53.67,33,77,2.51
185,Axim,GH,2021-12-23 23:36:51,4.8699,-2.2405,80.01,81,15,7.43
186,Acajutla,SV,2021-12-23 23:36:51,13.5928,-89.8275,86.34,63,1,3.62
187,Meulaboh,ID,2021-12-23 23:36:52,4.1363,96.1285,74.84,89,81,3.89
188,Bagh,IN,2021-12-23 23:36:52,22.3667,74.7667,64.06,36,0,4.47
189,Sinsheim,DE,2021-12-23 23:36:53,49.2529,8.8787,47.62,90,97,12.5
190,Ribeira Grande,PT,2021-12-23 23:36:55,38.5167,-28.7,61.2,67,40,27.63
191,Atar,MR,2021-12-23 23:36:55,20.5169,-13.0499,71.22,23,18,8.21
192,Sapang Dalaga,PH,2021-12-23 23:36:56,8.5399,123.5624,79.0,84,80,8.14
193,Vanavara,RU,2021-12-23 23:36:56,60.34,102.2797,-29.45,99,23,1.7
194,Grand Gaube,MU,2021-12-23 23:36:56,-20.0064,57.6608,79.38,84,94,1.99
195,Klaksvik,FO,2021-12-23 23:36:57,62.2266,-6.589,32.92,80,99,29.33
196,Vila Franca Do Campo,PT,2021-12-23 23:36:57,37.7167,-25.4333,61.21,72,100,19.8
197,Gondar,ET,2021-12-23 23:36:58,12.6,37.4667,57.61,60,5,3.98
198,Iwaki,JP,2021-12-23 23:36:58,37.05,140.8833,39.78,65,55,8.99
199,Baoning,CN,2021-12-23 23:36:59,25.3378,110.026,49.86,100,75,0.0
200,Ayagoz,KZ,2021-12-23 23:36:59,47.9714,80.4392,21.51,90,83,3.96
201,Saint Anthony,US,2021-12-23 23:37:00,45.0205,-93.218,34.05,78,1,0.0
202,Asau,RO,2021-12-23 23:37:00,46.4333,26.4,23.76,71,100,5.93
203,Bodden Town,KY,2021-12-23 23:37:00,19.2833,-81.25,77.0,68,20,5.99
204,Paamiut,GL,2021-12-23 23:37:01,61.994,-49.6678,28.24,76,100,7.2
205,Whitehorse,CA,2021-12-23 23:35:57,60.7161,-135.0538,-6.83,84,75,3.44
206,San Jorge,AR,2021-12-23 23:37:01,-31.8962,-61.8598,84.0,33,1,9.57
207,Bourail,NC,2021-12-23 23:37:02,-21.5667,165.4833,85.41,61,3,2.37
208,Isangel,VU,2021-12-23 23:34:09,-19.55,169.2667,84.49,66,93,10.92
209,Biltine,TD,2021-12-23 23:37:04,14.5333,20.9167,68.05,20,0,8.93
210,Nemuro,JP,2021-12-23 23:37:04,43.3236,145.575,25.38,60,1,13.65
211,Liverpool,GB,2021-12-23 23:37:04,53.4106,-2.9779,50.77,94,40,4.61
212,Mashivka,UA,2021-12-23 23:37:05,49.4431,34.8669,6.48,96,9,7.11
213,Adrar,MR,2021-12-23 23:37:05,20.5022,-10.0711,66.9,26,32,9.91
214,Sidi Ali,DZ,2021-12-23 23:37:06,36.0998,0.4206,55.6,77,77,5.91
215,Lithakia,GR,2021-12-23 23:37:06,37.7167,20.8333,36.77,63,15,1.39
216,Namibe,AO,2021-12-23 23:37:07,-15.1961,12.1522,68.41,68,85,8.37
217,Chuy,UY,2021-12-23 23:37:08,-33.6971,-53.4616,65.48,83,0,7.83
218,Grasse,FR,2021-12-23 23:37:08,43.6667,6.9167,47.79,79,90,3.44
219,Tuatapere,NZ,2021-12-23 23:37:09,-46.1333,167.6833,56.82,53,55,12.3
220,Tiksi,RU,2021-12-23 23:37:10,71.6872,128.8694,-16.28,99,99,2.8
221,Carson City,US,2021-12-23 23:35:38,39.1638,-119.7674,41.32,93,90,3.0
222,Katangli,RU,2021-12-23 23:37:10,51.7102,143.2326,-3.26,93,99,19.84
223,Nikolskoye,RU,2021-12-23 23:55:39,59.7035,30.7861,26.02,92,100,14.56
224,Binghamton,US,2021-12-23 23:53:51,42.0987,-75.918,29.86,75,100,5.01
225,Puerto Escondido,MX,2021-12-23 23:55:40,15.85,-97.0667,78.91,81,12,3.06
226,Niamey,NE,2021-12-23 23:51:32,13.5137,2.1098,71.89,16,0,5.75
227,Esperance,AU,2021-12-23 23:55:41,-33.8667,121.9,66.04,62,66,6.64
228,Kjollefjord,NO,2021-12-23 23:55:41,70.9457,27.3465,26.96,67,100,21.36
229,Gao,ML,2021-12-23 23:55:42,16.6362,1.637,66.25,10,74,11.88
230,Narsaq,GL,2021-12-23 23:55:42,60.9167,-46.05,25.23,62,89,11.48
231,Tessalit,ML,2021-12-23 23:55:43,20.1986,1.0114,63.68,22,28,9.6
